requete,formattage,lat,lng
"rue+Tardieu,Paris,France","Rue Tardieu, 75018 Paris, France",48.8842641,2.3424968
"rue+de+Tombouctou,Paris,France","Rue de Tombouctou, Paris, France",48.8846186,2.3564279
"passage+Tourlaque,Paris,France","Passage Tourlaque, 75018 Paris, France",48.8880841,2.3334369
"rue+Veron,Paris,France","Rue Veron, 75018 Paris, France",48.8848615,2.3357144
"rue+Danton,Paris,France","Rue Danton, 75006 Paris, France",48.8524438,2.3418196
"rue+Dupin,Paris,France","Rue Dupin, 75006 Paris, France",48.8498036,2.3252553
"rue+Felibien,Paris,France","Rue Felibien, 75006 Paris, France",48.8521388,2.3366617
"rue+Ferou,Paris,France","Rue Ferou, 75006 Paris, France",48.8498279,2.3339984
"rue+Guenegaud,Paris,France","Rue Guenegaud, 75006 Paris, France",48.8558956,2.3388959
"rue+du+Jardinet,Paris,France","Rue du Jardinet, 75006 Paris, France",48.8526244,2.3401721
"rue+Henry+de+Jouvenel,Paris,France","Rue Henry de Jouvenel, 75006 Paris, France",48.8501577,2.3339985
"place+Camille+Jullian,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+Pont+de+Lodi,Paris,France","Rue du Pont de Lodi, 75006 Paris, France",48.8550429,2.340349
"rue+Madame,Paris,France","Rue Madame, 75006 Paris, France",48.8491137,2.3317256
"rue+Amelie,Paris,France","Rue Amelie, 75007 Paris, France",48.8596527,2.3073343
"voie+B/7,Paris,France","7 Voie Georges Pompidou, 75015 Paris, France",48.8359407,2.2683781
"rue+de+Babylone,Paris,France","Rue de Babylone, 75007 Paris, France",48.8516845,2.3205157
"rue+du+Bac,Paris,France","Rue du Bac, 75007 Paris, France",48.8553707,2.324953
"allee+Maurice+Baumont,Paris,France","Allee Maurice Baumont, 75007 Paris, France",48.8580128,2.2965353
"rue+de+Belgrade,Paris,France","Rue de Belgrade, 75007 Paris, France",48.8557405,2.3018432
"rue+Sebastien+Bottin,Paris,France","Rue Sebastien Bottin, 75007 Paris, France",48.8568152,2.3284063
"rue+du+General+Camou,Paris,France","Rue du General Camou, 75007 Paris, France",48.8587592,2.2988697
"rue+Jean+Carries,Paris,France","Rue Jean Carries, Paris, France",48.8526792,2.2998013
"rue+du+Colonel+Combes,Paris,France","Rue du Colonel Combes, 75007 Paris, France",48.8616814,2.3060669
"rue+Paul-Louis+Courier,Paris,France","Rue Paul-Louis Courier, 75007 Paris, France",48.8562089,2.3246977
"rue+Desgenettes,Paris,France","Rue Desgenettes, 75007 Paris, France",48.8623917,2.3096616
"avenue+Anatole+France,Paris,France","Avenue Anatole France, 75007 Paris, France",48.8563487,2.2974797
"quai+Anatole+France,Paris,France","Quai Anatole France, 75007 Paris, France",48.8610903,2.3243102
"voie+Express+Rive+Gauche,Paris,France","Voie Expresse Rive Gauche, 75007 Paris, France",48.8628726,2.3059293
"esplanade+des+Invalides,Paris,France","Esplanade des Invalides, 75007 Paris, France",48.8612598,2.3132654
"rue+du+General+Lambert,Paris,France","Rue du General Lambert, 75007 Paris, France",48.8559805,2.294657
"place+Andre+Tardieu,Paris,France","Place Andre Tardieu, 75007 Paris, France",48.8513531,2.3143551
"rue+Vaneau,Paris,France","Rue Vaneau, 75007 Paris, France",48.8516989,2.3190168
"rue+d'Anjou,Paris,France","Rue d'Anjou, 75008 Paris, France",48.8721455,2.3217873
"rue+de+l'Arcade,Paris,France","Rue de l'Arcade, 75008 Paris, France",48.8727886,2.3240752
"rue+d'Astorg,Paris,France","Rue d'Astorg, 75008 Paris, France",48.8733848,2.3195521
"rue+Paul+Baudry,Paris,France","Rue Paul Baudry, 75008 Paris, France",48.8717957,2.3060806
"impasse+Bourdin,Paris,France","Impasse Bourdin, 75008 Paris, France",48.867557,2.3059498
"rue+Pierre+Charron,Paris,France","Rue Pierre Charron, 75008 Paris, France",48.8692416,2.3027879
"rue+Christophe+Colomb,Paris,France","Rue Christophe Colomb, Paris, France",48.8699213,2.3001685
"port+de+la+Conference,Paris,France","Port de la Conference, 75008 Paris, France",48.8641447,2.3054563
"rue+du+Faubourg+Saint-Honore,Paris,France","Rue du Faubourg Saint-Honore, 75008 Paris, France",48.8728833,2.3106163
"rue+Arsene+Houssaye,Paris,France","Rue Arsene Houssaye, 75008 Paris, France",48.8741465,2.2988532
"rue+de+l'Isly,Paris,France","Rue de l'Isly, 75008 Paris, France",48.8748111,2.325834
"avenue+de+Marigny,Paris,France","Avenue de Marigny, 75008 Paris, France",48.86984,2.3153721
"rue+Clement+Marot,Paris,France","Rue Clement Marot, 75008 Paris, France",48.8676964,2.3032263
"rue+de+Monceau,Paris,France","Rue de Monceau, 75008 Paris, France",48.8780612,2.3114027
"rue+Louis+Murat,Paris,France","Rue Louis Murat, 75008 Paris, France",48.8762091,2.3090794
"rue+de+Naples,Paris,France","Rue de Naples, 75008 Paris, France",48.8795273,2.3182174
"allee+Marcel+Proust,Paris,France","Allee Marcel Proust, 75008 Paris, France",48.8674032,2.3174936
"rue+Rembrandt,Paris,France","Rue Rembrandt, 75008 Paris, France",48.877429,2.3082077
"rue+du+Colonel+Domine,Paris,France","Rue du Colonel Domine, 75013 Paris, France",48.8200786,2.357573
"voie+DP/13,Paris,France","Paris, France",48.856614,2.3522219
"voie+DT/13,Paris,France","13 Voie d'Issy, 92240 Malakoff, France",48.8138221,2.2798674
